hal_id,titre,auteurs,annee,type_doc,support,doi,url_hal,url_pdf,mots_cles,resume,score,axes,ia,requetes
lirmm-05015619,Life Cycle Assessment of Edge Data Centers: Case Study in Presence of Renewable Energy and Refurbished Servers,Ismael Samaye; Georges Ouffoué; Abdoulaye Gamatié,2025,ART,ACM Journal on Computing and Sustainable Societies,10.1145/3724127,https://hal-lirmm.ccsd.cnrs.fr/lirmm-05015619v2,https://hal-lirmm.ccsd.cnrs.fr/lirmm-05015619/document,"Eco-friendly systems, Sustainable computing, Edge data centers, Lifecycle assessment, Renewable energy, Refurbished servers, Environmental impacts","As the demand for computing power increases, the ecological footprint of data centers becomes a critical concern. Evaluating and mitigating this trend is essential to ensure a sustainable future for digital technologies. This paper addresses the issue by comparing the environmental impacts of a solar-powered edge data center (SDC) with refurbished servers and a conventional edge data center (CDC). The comparison is conducted using a multicriteria life cycle assessment for both data center types, focusing on indicators such as climate change, depletion of abiotic resources, acidification, ioniz",5,"acv, carbone, energie, methodo",False,"(""life cycle assessment"" OR ""analyse de "
tel-05627893,"Towards enhanced and sustainable energy systems : advanced modeling, optimization, and hybrid energy recovery. modélisation avancée, optimisation et récupération hybride d’énergie Vers des systèmes énergétiques améliorés et durables : modélisation avancée, optimisation et récupération hybride d’énergie",Samer Ali,2025,HDR,,,https://hal.science/tel-05627893v1,https://hal.science/tel-05627893/document,"Heat transfer CFD optimization energy recovery renewable energies, Heat transfer, CFD, Optimization, Energy recovery, Renewable energies, Modélisation CFD, Flexible vortex generators, Générateur de tourbillons flexible, Chaleur -- Récupération, Énergies renouvelables, Écoulement laminaire",This manuscript centers on optimizing and intensifying thermal and energy processes across three interrelated research axes. The first addresses heat transfer and mixing enhancement through self-oscillating vortex generators (FVG). Both two- and three-dimensional investigations demonstrate that the self-sustained flapping motions of these flexible devices significantly amplify convective transport and promote efficient mixing in ducted flows and reactors. The second axis focuses on the development of CFD-based design and optimization tools. Adjoint and topology optimization methods have been a,5,"carbone, eau, energie, methodo",False,"(""life cycle assessment"" OR ""analyse de "
hal-05157002,Methodological Challenges in Conducting a Screening Life Cycle Assessment of Dense Electronic Devices: The Case of Smartphones Défis Méthodologiques dans la Réalisation d’une Analyse de Cycle de Vie Simplifiée des Dispositifs Électroniques Denses : Le Cas des Smartphones,Benjamin Chedotel; Thibaut Marty; François Berry; Maxime Pelcat,2025,COMM,22nd ACM International Conference on Computing Frontiers (CF' 25),10.1145/3706594.3727964,https://hal.science/hal-05157002v1,https://hal.science/hal-05157002/document,"Global Warming Potential GWP, Life Cycle Assessment LCA, Screening LCA, Dense Electronic Devices, Printed Circuit Board Assembly PCBA, Cut-off","Environmental Life Cycle Assessment (LCA) is becoming more widely adopted to evaluate the environmental impacts of devices and services across their manufacturing, use, and end-of-life phases. Life Cycle Assessments (LCAs) are usually conducted in several steps. After determining the goal and scope of the study, a first quick evaluation of impacts, called screening Life Cycle Assessment (LCA), aims at determining which activities and components significantly affect the impacts. Then, a cut-off method is applied that concentrates next LCA steps on activities and components representing more tha",5,"acv, carbone, energie, methodo",False,"(""life cycle assessment"" OR ""analyse de  | (LCA OR ""life cycle"") AND (semiconductor"
hal-05420658,Machine Learning Based Environmental Impact Prediction of Construction Products Using EPD Data,Bishwash Neupane; Benoit Hilloulin; Raphael Chenouard; Emmanuel Roziere,2025,COMM,22nd IFIP WG 5.1 International Conference (PLM 2025),10.1007/978-3-032-09700-2_36,https://hal.science/hal-05420658v1,https://hal.science/hal-05420658/document,"Life Cycle Assessment, Sustainability, Environment Product Declaration, Machine Learning","The construction sector significantly contributes to global greenhouse gas emissions, creating an urgent need for efficient environmental impact assessment methods. This study evaluates machine learning (ML) models to rapidly predict the Global Warming Potential (GWP) of construction products using standardized Environmental Product Declaration (EPD) data from the ÖKOBAUDAT database. Five regression models - Artificial Neural Network (ANN), Support Vector Regression (SVR), Decision Tree (DT), Random Forest (RF), and Extreme Gradient Boosting (XGB) were trained, optimized, and compared. Data pr",5,"acv, carbone, methodo",True,"(""life cycle assessment"" OR ""analyse de "
hal-05339284,Life Cycle Assessment of PLM System Scenarios: Sensitivity Insights from an Academic Use Case,Mathis Cuzin; Antoine Mallet; Kevin Nocentini; Benjamin Deguilhem; Victor Fau; Tom Bauer; Frédéric Segonds; Philippe Véron,2025,ART,Sustainability,10.3390/su17209279,https://hal.science/hal-05339284v1,https://hal.science/hal-05339284/document,"Sensitivity analysis, Case study, Enterprise architecture, ICT, LCA, E-LCA, Environmental life cycle assessment, PLM, Product lifecycle management","The 2020s represent both the digital decade and the pivotal period in the fulfillment of long-standing commitments made by public, private, and institutional actors in favor of sustainable development. In the manufacturing context, Product Lifecycle Management (PLM) systems are used during the design phase to reduce product environmental footprint. However, only a few studies have thoroughly identified the environmental impacts associated with these technological solutions. This study proposes a sensitivity analysis of five environmental impact categories associated with two PLM system archite",5,"acv, carbone, methodo",True,"(""life cycle assessment"" OR ""analyse de "
hal-05036272,Alumet,Guillaume Raffin,2025,SOFTWARE,,,https://hal.science/hal-05036272v1,,"Modular programming constructs, Framework, GPU, RAPL, Distributed monitoring, Performance monitoring, Profiling, Energy monitoring, Monitoring, Energy consumption","Alumet is a modular framework for ""low-level"" measurement. Thanks to an extensible plugin system, the framework allows to create measure-made measurement tools for a wide range of situations, local or distributed. With a generic model and interface, it can obtain, process and export any type of measurement, in the form of multi-dimensional timeseries. In particular, it can measure or estimate the energy consumption of software services. Alumet is written in Rust for optimal memory footprint and performance.",5,"acv, energie, methodo",True,"(""energy measurement"" OR ""power measurem"
hal-05365825,Life-cycle carbon assessment of by-design intermittent Fog services fully powered by renewable energy sources,Matteo Chancerel; Anne-Cécile Orgerie,2025,COMM,UCC 2025 - 18th IEEE/ACM International Conference on Utility and Cloud Computing,,https://hal.science/hal-05365825v1,https://hal.science/hal-05365825/document,"Fog computing, Sizing problem, Intermittent service, Batteries, Renewable energy sources, Cloud computing","To reduce their carbon footprint, some Fog operators power their nodes with renewable energy combined with batteries to prevent intermittency. Yet, often they do not consider the embodied carbon footprint of the power infrastructure. Moreover, having 24h/7d uptime for Fog services comes at a high embodied carbon cost and do not favor the right to disconnect. In this paper, we model a Fog infrastructure, geographically spread, powered by solar panels, wind turbines and batteries for its whole life time. Its nodes are turned off during the night and can be intermittent during the day. We provide",5,"acv, carbone, energie, methodo",False,"(""carbon footprint"" OR ""carbon intensity | (LCA OR ""life cycle"") AND (semiconductor"
hal-05201975,Toward Energy and Location-Aware Resource Allocation in Next Generation Networks,Mandar Datar; Mattia Merluzzi,2025,COMM,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications",,https://hal.science/hal-05201975v1,https://hal.science/hal-05201975/document,,"Wireless networks are evolving from radio resource providers to complex systems that also involve computing, with the latter being distributed across edge and cloud facilities. Also, their optimization is shifting more and more from a performance to a value-oriented paradigm. The two aspects shall be balanced continuously, to maximize the utilities of Services Providers (SPs), users quality of experience and fairness, while meeting global constraints in terms of energy consumption and carbon footprint among others, with all these heterogeneous resources contributing. In this paper, we tackle t",5,"acv, carbone, energie, methodo",False,"(""carbon footprint"" OR ""carbon intensity"
hal-05252340,Micro-Datacenters Model for Carbon Footprint Assessment and Energy Optimization,Nour Osta; Philippe Roose; Elene Anton; Frédéric Le Mouël; Jérôme Gaysse,2025,POSTER,Green Days 2025,,https://hal.science/hal-05252340v1,https://hal.science/hal-05252340/document,,"As businesses increasingly turn to cloud solutions for streamlined operations and cost management, concerns regarding data control and high energy consumption have surfaced [1,2]. Our research targets micro-data centers as a sustainable solution to these challenges, focusing on local energy efficiency and reduced carbon emissions. By utilizing a micro-data center model, our approach allows for granular analysis, from entire data centers down to individual services and workloads.",5,"acv, carbone, energie, methodo",False,"(""carbon footprint"" OR ""carbon intensity"
hal-05174309,The Environmental Cost of Bioinformatics at GenOuest,Rémy Siminel; Stéphanie Robin; Erell Le Deun; Matéo Boudet; Anthony Bretaudeau,2025,POSTER,"JOBIM 2025 - Journées Ouvertes en Biologie, Informatique et Mathématiques",,https://hal.science/hal-05174309v1,https://hal.science/hal-05174309/document,"Carbon footprint, Energy efficiency, High-performance computing HPC, Sustainable computing","Background: Bioinformatics heavily depends on high-performance computing (HPC), which consumes a large amount of energy and significantly impacts the environment. As datasets expand and analytical tools grow more complex - especially with the rise of AI-driven methods - the carbon footprint of computational research increases, making sustainable solutions essential. Results: In order to reduce the environmental impact of our bioinformatics research, our approach is to first accurately measure real-time energy use and then define a consumption optimization strategy. We track overall power consu",5,"acv, carbone, energie, methodo",False,"(""carbon footprint"" OR ""carbon intensity"
